NAMA PROVINSI,PROVINSI ID,MAX ID,JUMLAH TOTAL KABUPATEN+KECAMATAN+KELURAHAN
ACEH,1,6727,6727
SUMATERA UTARA,6728,12919,6192
SUMATERA BARAT,12920,14085,1166
RIAU,14086,15884,1799
JAMBI,15885,17403,1519
SUMATERA SELATAN,17404,20801,3398
BENGKULU,20802,22327,1526
LAMPUNG,22328,24992,2665
KEPULAUAN BANGKA BELITUNG,24993,25404,412
KEPULAUAN RIAU,25405,25822,418
DKI JAKARTA,25823,26140,318
JAWA BARAT,26141,32675,6535
JAWA TENGAH,32676,41862,9187
DAERAH ISTIMEWA YOGYAKARTA,41863,42384,522
JAWA TIMUR,42385,51577,9193
BANTEN,51578,53240,1663
BALI,53241,54019,779
NUSA TENGGARA BARAT,54020,55064,1045
NUSA TENGGARA TIMUR,55065,58284,3220
KALIMANTAN BARAT,58285,60370,2086
KALIMANTAN TENGAH,60371,61964,1594
KALIMANTAN SELATAN,61965,64110,2146
KALIMANTAN TIMUR,64111,65701,1591
SULAWESI UTARA,65702,67392,1691
SULAWESI TENGAH,67393,69267,1875
SULAWESI SELATAN,69268,72550,3283
SULAWESI TENGGARA,72551,74715,2165
GORONTALO,74716,75424,709
SULAWESI BARAT,75425,76095,671
MALUKU,76096,77084,989
MALUKU UTARA,77085,78202,1118
PAPUA,78203,81876,3674
PAPUA BARAT,81877,83325,1449